"recencia_dias","num_facturas_12m","meses_con_compra_12m","meses_con_compra_24m","pct_regularidad","neto_12m","bruto_12m","rentab_12m","costo_12m","unidades_12m","ticket_medio_neto","ticket_medio_bruto","pct_margen","pct_descuento_real","devuelto_12m","num_nc_12m","tasa_devolucion","num_referencias_12m","num_familias_12m","neto_6m_rec","neto_6m_ant","pct_tendencia","meses_vida_cliente","meses_sin_comprar","anios_con_compra","neto_historico","rentab_historico","antiguedad_anios","rentab_media_anual","prob_churn","clv_proyectado_2a","r_score","f_score","m_score","rfm_score","segmento_rfm","etapa_ciclo_vida","tendencia","pareto_v","pareto_r","medio_predominante","forma_pago","churn"
80,5,4,6,26.1,960.4800,1937.5000,259.2886,701.1914,74.0000,192.10,387.50,27.00,50.43,0.0000,0,0.0000,14,7,744.2800,216.2000,244.3,23,2,2,1730.1800,618.2928,1.92,322.59,0.05,612.92,3,4,3,3.30,LEAL_POTENCIAL,MADURO,CRECIENDO,C,C,Tradicional,Crédito 30 días,0
355,1,1,2,9.5,5356.6400,5356.6400,548.6400,4808.0000,1.0000,5356.64,5356.64,10.24,0.00,0.0000,0,0.0000,1,1,0.0000,5356.6400,-100.0,21,11,1,5388.9800,558.2839,1.75,319.02,0.50,319.02,1,1,4,2.20,PERDIDO_ALTO_VALOR,EN_RIESGO,DECAYENDO,C,C,Tradicional,Crédito 30 días,1
181,14,2,2,7.4,4509.1100,10783.1300,788.2347,3720.8753,1006.0000,322.08,770.22,17.48,58.18,144.3000,1,0.0320,36,4,922.1100,3587.0000,-74.3,27,6,2,6096.5700,1491.3077,2.25,662.80,0.20,1060.49,2,5,4,3.70,EN_RIESGO,RIESGO_TEMPRANO,DECAYENDO,C,C,Tradicional,Crédito 60 días 2P (45-60),0
5,151,13,25,71.4,81832.2200,158041.5400,28509.1155,53323.1045,8250.5000,541.94,1046.63,34.84,48.22,516.0600,1,0.0063,158,18,34561.0200,47271.2000,-26.9,35,0,4,207720.1600,74610.3912,2.92,25580.71,0.05,48603.35,5,5,5,5.00,CAMPEON,MADURO,DECAYENDO,A,A,Tradicional,Crédito 60 días 2P (30-60),0
280,3,3,5,31.3,856.5400,1137.9700,680.7883,175.7517,3.0000,285.51,379.32,79.48,24.73,0.0000,0,0.0000,3,1,0.0000,856.5400,-100.0,16,9,2,2135.3600,1602.9333,1.33,1202.20,0.50,1202.20,1,4,3,2.70,NECESITA_ATENCION,EN_RIESGO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,1
55,1,1,1,100.0,2999.6800,4285.2600,1972.0400,1027.6400,8.0000,2999.68,4285.26,65.74,30.00,0.0000,0,0.0000,4,1,2999.6800,0.0000,,1,1,1,2999.6800,1972.0400,0.08,23664.57,0.05,44962.69,4,3,4,3.70,LEAL_ALTO_VALOR,ADQUISICION,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
291,1,1,1,11.1,23.8900,28.1000,12.7140,11.1760,10.0000,23.89,28.10,53.22,14.98,0.0000,0,0.0000,1,1,0.0000,23.8900,-100.0,9,9,1,23.8900,12.7140,0.75,16.95,0.50,16.95,1,1,1,1.00,HIBERNANDO,EN_RIESGO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,1
66,7,3,4,23.5,758.7400,990.7700,553.9791,204.7609,89.0000,108.39,141.54,73.01,23.42,0.0000,0,0.0000,7,2,660.8600,97.8800,575.2,17,2,2,1310.0900,890.7054,1.42,628.73,0.05,1194.59,3,4,3,3.30,LEAL_POTENCIAL,MADURO,CRECIENDO,C,C,Tradicional,Contado - Efectivo,0
32,1,1,1,100.0,412.1500,615.1500,202.0263,210.1237,1.0000,412.15,615.15,49.02,33.00,0.0000,0,0.0000,1,1,412.1500,0.0000,,1,1,1,412.1500,202.0263,0.08,2424.33,0.05,4606.22,4,2,3,3.00,NUEVO_PROMETEDOR,ADQUISICION,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
0,520,13,25,69.4,1172969.2100,2526799.8500,380358.8544,792610.3556,125152.0000,2255.71,4859.23,32.43,53.58,25647.1000,6,0.0219,656,16,571267.2400,601701.9700,-5.1,36,0,4,3057659.7600,908908.9941,3.00,302969.66,0.05,575642.36,5,5,5,5.00,CAMPEON,MADURO,ESTABLE,A,A,Tradicional,Crédito 90 días 3P (45-60-90),0
199,1,1,1,16.7,325.7300,407.1600,242.2038,83.5262,2.0000,325.73,407.16,74.36,20.00,0.0000,0,0.0000,1,1,0.0000,325.7300,-100.0,6,6,1,325.7300,242.2038,0.50,484.41,0.20,775.05,2,1,2,1.70,HIBERNANDO,RIESGO_TEMPRANO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,0
3,7,3,5,15.2,439.7500,577.5000,248.0351,191.7149,79.0000,62.82,82.50,56.40,23.85,0.0000,0,0.0000,12,7,439.7500,0.0000,,33,0,3,518.6100,282.9385,2.75,102.89,0.05,195.48,5,4,3,3.90,LEAL_POTENCIAL,MADURO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
206,1,1,1,3.2,11.6800,16.0000,8.7760,2.9040,8.0000,11.68,16.00,75.14,27.00,0.0000,0,0.0000,1,1,0.0000,11.6800,-100.0,31,6,2,28.0700,18.9050,2.58,7.32,0.20,11.71,2,1,1,1.30,HIBERNANDO,RIESGO_TEMPRANO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,0
19,25,8,17,47.2,7572.3800,12884.8000,2848.4271,4723.9529,2400.0000,302.90,515.39,37.62,41.23,0.0000,0,0.0000,36,9,4612.8400,2959.5400,55.9,36,0,4,16706.2300,6556.8250,3.00,2185.61,0.05,4152.66,4,5,4,4.30,CAMPEON,MADURO,CRECIENDO,C,B,Tradicional,Crédito 30 días,0
66,2,2,2,66.7,189.5400,252.6900,111.3078,78.2322,8.0000,94.77,126.35,58.73,24.99,0.0000,0,0.0000,5,2,189.5400,0.0000,,3,2,1,189.5400,111.3078,0.25,445.23,0.05,845.94,4,3,2,2.90,LEAL_POTENCIAL,ADQUISICION,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
69,1,1,5,14.7,105.3100,138.4800,67.2324,38.0776,24.0000,105.31,138.48,63.84,23.95,0.0000,0,0.0000,2,2,105.3100,0.0000,,34,2,4,3541.2900,2007.3598,2.83,708.48,0.05,1346.11,3,2,2,2.30,OCASIONAL,MADURO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
80,2,2,7,38.9,330.7200,505.7000,202.1780,128.5420,13.0000,165.36,252.85,61.13,34.60,0.0000,0,0.0000,3,3,330.7200,0.0000,,18,2,2,1225.4500,676.9331,1.50,451.29,0.05,857.45,3,3,2,2.60,LEAL_POTENCIAL,MADURO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
39,9,6,6,21.4,3227.1900,6286.7500,719.7161,2507.4739,114.0000,358.58,698.53,22.30,48.67,0.0000,0,0.0000,17,6,2834.9100,392.2800,622.7,28,1,3,3296.0100,741.4158,2.33,317.75,0.05,603.72,4,4,4,4.00,CAMPEON,MADURO,CRECIENDO,C,C,Tradicional,Crédito 45 días 2P (30-45),0
38,3,3,3,27.3,622.4300,945.8900,324.5846,297.8454,4.0000,207.48,315.30,52.15,34.20,0.0000,0,0.0000,3,3,96.3300,526.1000,-81.7,11,1,2,622.4300,324.5846,0.92,354.09,0.05,672.78,4,4,3,3.60,LEAL_POTENCIAL,DESARROLLO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,0
131,1,1,3,8.6,541.9100,752.6600,374.7096,167.2004,12.0000,541.91,752.66,69.15,28.00,0.0000,0,0.0000,2,1,541.9100,0.0000,,35,4,4,3272.5600,2202.8946,2.92,755.28,0.20,1208.45,3,2,3,2.70,HIBERNANDO,RIESGO_TEMPRANO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
179,1,1,1,20.0,1832.4500,2908.6500,1124.6420,707.8080,15.0000,1832.45,2908.65,61.37,37.00,0.0000,0,0.0000,1,1,1832.4500,0.0000,,5,5,1,1832.4500,1124.6420,0.42,2699.15,0.20,4318.63,2,2,4,2.80,HIBERNANDO,RIESGO_TEMPRANO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
48,1,1,1,100.0,1041.0700,1601.6400,402.0176,639.0524,16.0000,1041.07,1601.64,38.62,35.00,0.0000,0,0.0000,4,2,1041.0700,0.0000,,1,1,1,1041.0700,402.0176,0.08,4824.23,0.05,9166.04,4,2,3,3.00,NUEVO_PROMETEDOR,ADQUISICION,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
19,8,7,8,38.1,47093.5600,48358.3500,26882.8243,20210.7357,181.0000,5886.70,6044.79,57.08,2.62,0.0000,0,0.0000,26,4,41478.6400,5614.9200,638.7,21,0,2,47134.7500,26903.4905,1.75,15373.42,0.05,29209.50,4,4,5,4.40,CAMPEON,MADURO,CRECIENDO,B,A,Tradicional,Crédito 90 días,0
139,32,9,21,72.4,24847.9200,39611.4200,14038.7007,10809.2193,348.0000,776.50,1237.86,56.50,37.27,0.0000,0,0.0000,20,4,10169.3900,14678.5300,-30.7,29,4,3,95832.8700,53339.2551,2.42,22071.42,0.20,35314.28,3,5,5,4.40,LEAL_ALTO_VALOR,RIESGO_TEMPRANO,DECAYENDO,B,A,Tradicional,Crédito 60 días,0
10,19,5,5,45.5,22969.9800,36590.0300,15237.5702,7732.4098,1456.0000,1208.95,1925.79,66.34,37.22,0.0000,0,0.0000,49,7,22550.6800,419.3000,5278.2,11,0,2,22969.9800,15237.5702,0.92,16622.82,0.05,31583.35,5,5,5,5.00,CAMPEON,DESARROLLO,CRECIENDO,B,B,Tradicional,Crédito 8 días,0
259,4,3,12,34.3,1941.0800,3837.0800,507.2568,1433.8232,1306.0000,485.27,959.27,26.13,49.41,0.0000,0,0.0000,5,2,0.0000,1941.0800,-100.0,35,8,4,54942.1000,10545.7156,2.92,3615.67,0.50,3615.67,2,4,4,3.40,EN_RIESGO,EN_RIESGO,DECAYENDO,B,C,Tradicional,Crédito 90 días 3P (30-60-90),1
139,1,1,2,5.9,28.3500,38.8400,13.0520,15.2980,4.0000,28.35,38.84,46.04,27.01,0.0000,0,0.0000,1,1,28.3500,0.0000,,34,4,4,1546.0700,1037.7223,2.83,366.25,0.20,586.01,3,2,1,1.90,OCASIONAL,RIESGO_TEMPRANO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
194,2,1,2,12.5,129.8700,177.9000,56.1370,73.7330,110.0000,64.94,88.95,43.23,27.00,0.0000,0,0.0000,2,2,0.0000,129.8700,-100.0,16,6,2,255.9800,125.8665,1.33,94.40,0.20,151.04,2,3,2,2.30,NECESITA_ATENCION,RIESGO_TEMPRANO,DECAYENDO,C,C,Tradicional,Contado - Efectivo,0
154,1,1,2,10.5,560.4300,889.7500,245.3972,315.0328,2.0000,560.43,889.75,43.79,37.01,0.0000,0,0.0000,2,2,560.4300,0.0000,,19,5,2,664.6400,301.4131,1.58,190.37,0.20,304.59,2,2,3,2.40,HIBERNANDO,RIESGO_TEMPRANO,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
4,187,13,25,69.4,268315.4000,495719.2700,124453.4285,143861.9715,20028.0000,1434.84,2650.91,46.38,45.87,120.1800,1,0.0004,149,6,148282.1300,120033.2700,23.5,36,0,4,811057.3500,409442.2114,3.00,136480.74,0.05,259313.40,5,5,5,5.00,CAMPEON,MADURO,CRECIENDO,A,A,Tradicional,Crédito 90 días 3P (30-60-90),0
5,1,1,1,,254.3100,335.7500,107.9569,146.3531,11.0000,254.31,335.75,42.45,24.26,0.0000,0,0.0000,2,2,254.3100,0.0000,,0,0,1,254.3100,107.9569,0.00,,0.05,,5,2,2,2.90,NUEVO_PROMETEDOR,ADQUISICION,SIN_HISTORICO,C,C,Tradicional,Contado - Efectivo,0
